Team Name,Team Abbr.,G,W,L,W/L%,GB,PW,PL,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs
Grand Rapids Gold,GRG,32,9,23,0.28125,14,10,22,G League,2023,NA,NA,Eastern,14,No
Westchester Knicks,WES,32,9,23,0.28125,14,10,22,G League,2023,NA,NA,Eastern,15,No
Stockton Kings,STO,32,25,7,0.78125,0,24,8,G League,2023,NA,NA,Western,1,Yes
Memphis Hustle,MHU,32,23,9,0.71875,2,20,12,G League,2023,NA,NA,Western,2,Yes
South Bay Lakers,SBL,32,21,11,0.65625,4,23,9,G League,2023,NA,NA,Western,3,Yes
Salt Lake City Stars,SLC,32,20,12,0.625,5,18,14,G League,2023,NA,NA,Western,4,Yes
Sioux Falls Skyforce,SXF,32,20,12,0.625,5,20,12,G League,2023,NA,NA,Western,5,Yes
Rio Grande Valley Vipers,RGV,32,18,14,0.5625,7,18,14,G League,2023,NA,NA,Western,6,Yes
Santa Cruz Warriors,SCW,32,18,14,0.5625,7,18,14,G League,2023,NA,NA,Western,7,No
Mexico City Capitanes,MXC,32,18,14,0.5625,7,16,16,G League,2023,NA,NA,Western,8,No
Ontario Clippers,ONT,32,17,15,0.53125,8,20,12,G League,2023,NA,NA,Western,9,No
Oklahoma City Blue,OKL,32,13,19,0.40625,12,15,17,G League,2023,NA,NA,Western,10,No
Birmingham Squadron,BIR,32,11,21,0.34375,14,12,20,G League,2023,NA,NA,Western,11,No
G League Ignite,GLI,32,11,21,0.34375,14,9,23,G League,2023,NA,NA,Western,12,No
Iowa Wolves,IWA,32,9,23,0.28125,16,10,22,G League,2023,NA,NA,Western,13,No
Austin Spurs,AUS,32,8,24,0.25,17,9,23,G League,2023,NA,NA,Western,14,No
Texas Legends,TEX,32,7,25,0.21875,18,7,25,G League,2023,NA,NA,Western,15,No
Osceola Magic,OSC,34,22,12,0.647058824,0,21,13,G League,2024,NA,NA,Eastern,1,Yes
Maine Celtics,MNE,34,21,13,0.617647059,1,22,12,G League,2024,NA,NA,Eastern,2,Yes
Indiana Mad Ants,IND,34,21,13,0.617647059,1,21,13,G League,2024,NA,NA,Eastern,3,Yes
Capital City Go-Go,CCG,34,20,14,0.588235294,2,22,12,G League,2024,NA,NA,Eastern,4,Yes
Delaware Blue Coats,DEL,34,19,15,0.558823529,3,19,15,G League,2024,NA,NA,Eastern,5,Yes
Long Island Nets,LIN,34,19,15,0.558823529,3,19,15,G League,2024,NA,NA,Eastern,6,Yes
Wisconsin Herd,WIS,34,17,17,0.5,5,18,16,G League,2024,NA,NA,Eastern,7,No
College Park Skyhawks,CPS,34,17,17,0.5,5,19,15,G League,2024,NA,NA,Eastern,8,No
Motor City Cruise,MCC,34,16,18,0.470588235,6,15,19,G League,2024,NA,NA,Eastern,9,No
Birmingham Squadron,BIR,34,15,19,0.441176471,7,15,19,G League,2024,NA,NA,Eastern,10,No
Cleveland Charge,CLC,34,15,19,0.441176471,7,11,23,G League,2024,NA,NA,Eastern,11,No
Greensboro Swarm,GBO,34,15,19,0.441176471,7,14,20,G League,2024,NA,NA,Eastern,12,No
Windy City Bulls,WCB,34,15,19,0.441176471,7,17,17,G League,2024,NA,NA,Eastern,13,No
Raptors 905,RAP,34,13,21,0.382352941,9,12,22,G League,2024,NA,NA,Eastern,14,No
Westchester Knicks,WES,34,12,22,0.352941176,10,14,20,G League,2024,NA,NA,Eastern,15,No
Grand Rapids Gold,GRG,34,11,23,0.323529412,11,10,24,G League,2024,NA,NA,Eastern,16,No
Stockton Kings,STO,34,24,10,0.705882353,0,24,10,G League,2024,NA,NA,Western,1,Yes
Sioux Falls Skyforce,SXF,34,22,12,0.647058824,2,20,14,G League,2024,NA,NA,Western,2,Yes
Oklahoma City Blue,OKL,34,21,13,0.617647059,3,26,8,G League,2024,NA,NA,Western,3,Yes
Santa Cruz Warriors,SCW,34,20,14,0.588235294,4,16,18,G League,2024,NA,NA,Western,4,Yes
Salt Lake City Stars,SLC,34,20,14,0.588235294,4,20,14,G League,2024,NA,NA,Western,5,Yes
Rio Grande Valley Vipers,RGV,34,20,14,0.588235294,4,20,14,G League,2024,NA,NA,Western,6,Yes
Austin Spurs,AUS,34,20,14,0.588235294,4,20,14,G League,2024,NA,NA,Western,7,No
Mexico City Capitanes,MXC,34,19,15,0.558823529,5,16,18,G League,2024,NA,NA,Western,8,No
Texas Legends,TEX,34,18,16,0.529411765,6,18,16,G League,2024,NA,NA,Western,9,No
Rip City Remix,RIP,34,18,16,0.529411765,6,19,15,G League,2024,NA,NA,Western,10,No
South Bay Lakers,SBL,34,18,16,0.529411765,6,16,18,G League,2024,NA,NA,Western,11,No
Memphis Hustle,MHU,34,15,19,0.441176471,9,13,21,G League,2024,NA,NA,Western,12,No
Ontario Clippers,ONT,34,15,19,0.441176471,9,19,15,G League,2024,NA,NA,Western,13,No
Iowa Wolves,IWA,34,7,27,0.205882353,17,9,25,G League,2024,NA,NA,Western,14,No
G League Ignite,GLI,34,2,32,0.058823529,22,4,30,G League,2024,NA,NA,Western,15,No
