Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Tulsa 66ers,TUL,G League,2006,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fayetteville Patriots,FAY,G League,2006,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota Wizards,DAK,G League,2007,Eastern,1,NA,NA,Yes,NA,NA,NA,NA,1,0,Sioux Falls Skyforce,Yes,NA,NA,NA,NA,1,0,Colorado 14ers,Yes
Sioux Falls Skyforce,SXF,G League,2007,Eastern,2,NA,NA,Yes,1,0,Fort Worth Flyers,Yes,0,1,Dakota Wizards,No,NA,NA,NA,NA,NA,NA,NA,NA
Fort Worth Flyers,FTW,G League,2007,Eastern,3,NA,NA,Yes,0,1,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Toros,AST,G League,2007,Eastern,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2007,Eastern,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas RimRockers,ARK,G League,2007,Eastern,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2007,Western,1,NA,NA,Yes,NA,NA,NA,NA,0,1,Colorado 14ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Colorado 14ers,COL,G League,2007,Western,2,NA,NA,Yes,1,0,Albuquerque Thunderbirds,Yes,1,0,Idaho Stampede,Yes,NA,NA,NA,NA,0,1,Dakota Wizards,No
Albuquerque Thunderbirds,ABQ,G League,2007,Western,3,NA,NA,Yes,0,1,Colorado 14ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaheim Arsenal,ANA,G League,2007,Western,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2007,Western,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2007,Western,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota Wizards,DAK,G League,2008,Central,1,NA,NA,Yes,0,1,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2008,Central,2,NA,NA,Yes,1,0,Dakota Wizards,Yes,0,1,Austin Toros,No,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2008,Central,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2008,Central,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Toros,AST,G League,2008,Southwest,1,NA,NA,Yes,NA,NA,NA,NA,1,0,Sioux Falls Skyforce,Yes,NA,NA,NA,NA,1,2,Idaho Stampede,No
Colorado 14ers,COL,G League,2008,Southwest,2,NA,NA,Yes,0,1,Los Angeles D-Fenders,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2008,Southwest,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albuquerque Thunderbirds,ABQ,G League,2008,Southwest,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2008,Southwest,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2008,West,1,NA,NA,Yes,NA,NA,NA,NA,1,0,Los Angeles D-Fenders,Yes,NA,NA,NA,NA,2,1,Austin Toros,Yes
