Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Springfield Armor,SPR,G League,2014,East,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2014,East,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2014,East,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware 87ers,DLW,G League,2014,East,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2014,West,1,NA,NA,Yes,0,2,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2014,West,2,NA,NA,Yes,2,0,Los Angeles D-Fenders,Yes,2,1,Rio Grande Valley Vipers,Yes,NA,NA,NA,NA,0,2,Fort Wayne Mad Ants,No
Reno Bighorns,REN,G League,2014,West,3,NA,NA,Yes,0,2,Fort Wayne Mad Ants,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2014,West,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2014,West,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2015,Atlantic,1,Eastern,1,Yes,0,2,Fort Wayne Mad Ants,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2015,Central,1,Eastern,2,Yes,1,2,Canton Charge,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2015,Atlantic,2,Eastern,3,Yes,2,1,Sioux Falls Skyforce,Yes,0,2,Fort Wayne Mad Ants,No,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2015,Central,2,Eastern,4,Yes,2,0,Maine Red Claws,Yes,2,0,Canton Charge,Yes,NA,NA,NA,NA,0,2,Santa Cruz Warriors,No
Iowa Energy,IWE,G League,2015,Central,3,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2015,Atlantic,3,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2015,Central,4,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware 87ers,DLW,G League,2015,Atlantic,4,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2015,Atlantic,5,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2015,West,1,Western,1,Yes,2,0,Oklahoma City Blue,Yes,2,1,Austin Spurs,Yes,NA,NA,NA,NA,2,0,Fort Wayne Mad Ants,Yes
Austin Spurs,AUS,G League,2015,Southwest,1,Western,2,Yes,2,1,Bakersfield Jam,Yes,1,2,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2015,West,2,Western,2,Yes,1,2,Austin Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2015,Southwest,2,Western,4,Yes,0,2,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2015,Southwest,3,Western,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2015,Southwest,4,Western,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2015,West,3,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2015,West,4,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2015,West,5,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2016,Central,1,Eastern,1,Yes,2,0,Westchester Knicks,Yes,2,0,Canton Charge,Yes,NA,NA,NA,NA,2,1,Los Angeles D-Fenders,Yes
Maine Red Claws,MAI,G League,2016,Atlantic,1,Eastern,2,Yes,0,2,Canton Charge,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2016,Central,2,Eastern,3,Yes,2,0,Maine Red Claws,Yes,0,2,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2016,Atlantic,2,Eastern,4,Yes,0,2,Sioux Falls Skyforce,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2016,Central,3,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2016,Atlantic,3,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2016,Central,4,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware 87ers,DLW,G League,2016,Atlantic,4,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2016,Central,5,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2016,Atlantic,5,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2016,Pacific,1,Western,1,Yes,1,2,Los Angeles D-Fenders,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2016,Southwest,1,Western,2,Yes,2,1,Rio Grande Valley Vipers,Yes,1,2,Los Angeles D-Fenders,No,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2016,Southwest,2,Western,3,Yes,1,2,Austin Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2016,Pacific,2,Western,4,Yes,2,1,Reno Bighorns,Yes,2,1,Austin Spurs,Yes,NA,NA,NA,NA,1,2,Sioux Falls Skyforce,No
Texas Legends,TEX,G League,2016,Southwest,3,Western,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2016,Pacific,3,Western,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2016,Pacific,4,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2016,Southwest,4,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2016,Pacific,5,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2017,Central,1,Eastern,1,Yes,2,0,Canton Charge,Yes,2,0,Maine Red Claws,Yes,NA,NA,NA,NA,2,1,Rio Grande Valley Vipers,Yes
Maine Red Claws,MAI,G League,2017,Atlantic,1,Eastern,2,Yes,2,1,Fort Wayne Mad Ants,Yes,0,2,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2017,Central,2,Eastern,3,Yes,1,2,Maine Red Claws,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2017,Central,3,Eastern,4,Yes,0,2,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2017,Central,4,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware 87ers,DLW,G League,2017,Atlantic,2,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2017,Central,5,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2017,Atlantic,3,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2017,Atlantic,4,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2017,Atlantic,5,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2017,Atlantic,6,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2017,Southwest,1,Western,1,Yes,2,1,Santa Cruz Warriors,Yes,1,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2017,Pacific,1,Western,2,Yes,1,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2017,Southwest,2,Western,3,Yes,2,1,Los Angeles D-Fenders,Yes,2,1,Oklahoma City Blue,Yes,NA,NA,NA,NA,1,2,Raptors 905,No
Santa Cruz Warriors,SCW,G League,2017,Pacific,2,Western,4,Yes,1,2,Oklahoma City Blue,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2017,Southwest,3,Western,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2017,Southwest,4,Western,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2017,Southwest,5,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona Suns,NAS,G League,2017,Pacific,3,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2017,Pacific,4,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2017,Pacific,5,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2017,Southwest,6,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2018,Atlantic,1,Eastern,1,Yes,NA,NA,NA,NA,0,1,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2018,Central,1,Eastern,2,Yes,0,1,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,HAW,G League,2018,Southeast,1,Eastern,3,Yes,1,0,Lakeland Magic,Yes,1,0,Fort Wayne Mad Ants,Yes,0,1,Raptors 905,No,NA,NA,NA,NA
Raptors 905,RAP,G League,2018,Atlantic,2,Eastern,4,Yes,1,0,Grand Rapids Drive,Yes,1,0,Westchester Knicks,Yes,1,0,Erie BayHawks,Yes,0,2,Austin Spurs,No
Fort Wayne Mad Ants,FWN,G League,2018,Central,2,Eastern,5,Yes,NA,NA,NA,NA,0,1,Erie BayHawks,No,NA,NA,NA,NA,NA,NA,NA,NA
Lakeland Magic,LAK,G League,2018,Southeast,2,Eastern,6,Yes,0,1,Erie BayHawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2018,Atlantic,3,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2018,Central,3,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2018,Central,4,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2018,Central,5,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2018,Atlantic,4,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2018,Southeast,3,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware 87ers,DLW,G League,2018,Southeast,4,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2018,Southwest,1,Western,1,Yes,NA,NA,NA,NA,1,0,Rio Grande Valley Vipers,Yes,1,0,South Bay Lakers,Yes,2,0,Raptors 905,Yes
Reno Bighorns,REN,G League,2018,Pacific,1,Western,2,Yes,NA,NA,NA,NA,0,1,South Bay Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2018,Midwest,1,Western,3,Yes,0,1,South Bay Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2018,Southwest,2,Western,4,Yes,1,0,Texas Legends,Yes,0,1,Austin Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2018,Southwest,3,Western,5,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2018,Pacific,2,Western,6,Yes,1,0,Oklahoma City Blue,Yes,1,0,Reno Bighorns,Yes,0,1,Austin Spurs,No,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2018,Midwest,2,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2018,Midwest,3,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2018,Pacific,3,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona Suns,NAS,G League,2018,Pacific,4,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Caliente Clippers,ACC,G League,2018,Pacific,5,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2018,Midwest,4,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2018,Southwest,4,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2019,Atlantic,1,Eastern,1,Yes,NA,NA,NA,NA,1,0,Raptors 905,Yes,1,0,Lakeland Magic,Yes,1,2,Rio Grande Valley Vipers,No
Lakeland Magic,LAK,G League,2019,Southeast,1,Eastern,2,Yes,NA,NA,NA,NA,1,0,Westchester Knicks,Yes,0,1,Long Island Nets,No,NA,NA,NA,NA
Westchester Knicks,WES,G League,2019,Atlantic,2,Eastern,3,Yes,1,0,Windy City Bulls,Yes,0,1,Lakeland Magic,No,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2019,Atlantic,3,Eastern,4,Yes,1,0,Grand Rapids Drive,Yes,0,1,Long Island Nets,No,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2019,Central,1,Eastern,5,Yes,0,1,Raptors 905,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2019,Central,2,Eastern,6,Yes,0,1,Westchester Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capital City Go-Go,CCG,G League,2019,Southeast,2,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,HAW,G League,2019,Southeast,3,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2019,Southeast,4,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2019,Central,3,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2019,Central,4,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2019,Atlantic,4,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2019,Atlantic,5,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2019,Central,5,Eastern,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2019,Southwest,1,Western,1,Yes,NA,NA,NA,NA,1,0,Memphis Hustle,Yes,1,0,Santa Cruz Warriors,Yes,2,1,Long Island Nets,Yes
Santa Cruz Warriors,SCW,G League,2019,Pacific,1,Western,2,Yes,NA,NA,NA,NA,1,0,Oklahoma City Blue,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2019,Midwest,1,Western,3,Yes,1,0,Salt Lake City Stars,Yes,0,1,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Kings,STO,G League,2019,Pacific,2,Western,4,Yes,0,1,Memphis Hustle,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2019,Midwest,2,Western,5,Yes,1,0,Stockton Kings,Yes,0,1,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2019,Southwest,2,Western,6,Yes,0,1,Oklahoma City Blue,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Caliente Clippers,ACC,G League,2019,Pacific,3,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2019,Midwest,3,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2019,Pacific,4,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2019,Southwest,3,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2019,Midwest,4,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2019,Southwest,4,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona Suns,NAS,G League,2019,Pacific,5,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin Herd,WIS,G League,2020,NA,NA,Eastern,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2020,NA,NA,Eastern,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2020,NA,NA,Eastern,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakeland Magic,LAK,G League,2020,NA,NA,Eastern,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Rapids Drive,GRR,G League,2020,NA,NA,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2020,NA,NA,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capital City Go-Go,CCG,G League,2020,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2020,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2020,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College Park Skyhawks,CPS,G League,2020,NA,NA,Eastern,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long Island Nets,LIN,G League,2020,NA,NA,Eastern,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2020,NA,NA,Eastern,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Windy City Bulls,WCB,G League,2020,NA,NA,Eastern,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,EBH,G League,2020,NA,NA,Eastern,14,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2020,NA,NA,Eastern,15,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salt Lake City Stars,SLC,G League,2020,NA,NA,Western,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Hustle,MHU,G League,2020,NA,NA,Western,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2020,NA,NA,Western,3,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockton Kings,STO,G League,2020,NA,NA,Western,4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2020,NA,NA,Western,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2020,NA,NA,Western,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2020,NA,NA,Western,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agua Caliente Clippers,ACC,G League,2020,NA,NA,Western,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Blue,OKL,G League,2020,NA,NA,Western,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Wolves,IWA,G League,2020,NA,NA,Western,10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bay Lakers,SBL,G League,2020,NA,NA,Western,11,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2020,NA,NA,Western,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Arizona Suns,NAS,G League,2020,NA,NA,Western,13,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raptors 905,RAP,G League,2021,NA,NA,Eastern,1,Yes,1,0,G League Ignite,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,EBH,G League,2021,NA,NA,Eastern,2,Yes,0,1,Lakeland Magic,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware Blue Coats,DEL,G League,2021,NA,NA,Eastern,3,Yes,1,0,Austin Spurs,Yes,1,0,Raptors 905,Yes,NA,NA,NA,NA,0,1,Lakeland Magic,No
Lakeland Magic,LAK,G League,2021,NA,NA,Eastern,4,Yes,1,0,Erie BayHawks,Yes,1,0,Santa Cruz Warriors,Yes,NA,NA,NA,NA,1,0,Delaware Blue Coats,Yes
Long Island Nets,LIN,G League,2021,NA,NA,Eastern,5,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westchester Knicks,WES,G League,2021,NA,NA,Eastern,6,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2021,NA,NA,Eastern,7,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2021,NA,NA,Eastern,8,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greensboro Swarm,GBO,G League,2021,NA,NA,Eastern,9,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cruz Warriors,SCW,G League,2021,NA,NA,Western,1,Yes,1,0,Rio Grande Valley Vipers,Yes,0,1,Lakeland Magic,No,NA,NA,NA,NA,NA,NA,NA,NA
Austin Spurs,AUS,G League,2021,NA,NA,Western,2,Yes,0,1,Delaware Blue Coats,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
