Team Name,Team Abbr.,Season,League,URL
Erie BayHawks,HAW,2019,G League,https://www.basketball-reference.com/gleague/teams/HAW/2019.html
Delaware Blue Coats,DEL,2019,G League,https://www.basketball-reference.com/gleague/teams/DEL/2019.html
Delaware Blue Coats,DEL,2020,G League,https://www.basketball-reference.com/gleague/teams/DEL/2020.html
Delaware Blue Coats,DEL,2021,G League,https://www.basketball-reference.com/gleague/teams/DEL/2021.html
Delaware Blue Coats,DEL,2022,G League,https://www.basketball-reference.com/gleague/teams/DEL/2022.html
Delaware Blue Coats,DEL,2023,G League,https://www.basketball-reference.com/gleague/teams/DEL/2023.html
Delaware Blue Coats,DEL,2024,G League,https://www.basketball-reference.com/gleague/teams/DEL/2024.html
Delaware 87ers,DLW,2014,G League,https://www.basketball-reference.com/gleague/teams/DLW/2014.html
Delaware 87ers,DLW,2015,G League,https://www.basketball-reference.com/gleague/teams/DLW/2015.html
Delaware 87ers,DLW,2016,G League,https://www.basketball-reference.com/gleague/teams/DLW/2016.html
Delaware 87ers,DLW,2017,G League,https://www.basketball-reference.com/gleague/teams/DLW/2017.html
Delaware 87ers,DLW,2018,G League,https://www.basketball-reference.com/gleague/teams/DLW/2018.html
Utah Flash,UTA,2008,G League,https://www.basketball-reference.com/gleague/teams/UTA/2008.html
Utah Flash,UTA,2009,G League,https://www.basketball-reference.com/gleague/teams/UTA/2009.html
Utah Flash,UTA,2010,G League,https://www.basketball-reference.com/gleague/teams/UTA/2010.html
Utah Flash,UTA,2011,G League,https://www.basketball-reference.com/gleague/teams/UTA/2011.html
G League Ignite,GLI,2021,G League,https://www.basketball-reference.com/gleague/teams/GLI/2021.html
G League Ignite,GLI,2022,G League,https://www.basketball-reference.com/gleague/teams/GLI/2022.html
G League Ignite,GLI,2023,G League,https://www.basketball-reference.com/gleague/teams/GLI/2023.html
G League Ignite,GLI,2024,G League,https://www.basketball-reference.com/gleague/teams/GLI/2024.html
Grand Rapids Gold,GRG,2022,G League,https://www.basketball-reference.com/gleague/teams/GRG/2022.html
Grand Rapids Gold,GRG,2023,G League,https://www.basketball-reference.com/gleague/teams/GRG/2023.html
Grand Rapids Gold,GRG,2024,G League,https://www.basketball-reference.com/gleague/teams/GRG/2024.html
Grand Rapids Drive,GRR,2015,G League,https://www.basketball-reference.com/gleague/teams/GRR/2015.html
Grand Rapids Drive,GRR,2016,G League,https://www.basketball-reference.com/gleague/teams/GRR/2016.html
Grand Rapids Drive,GRR,2017,G League,https://www.basketball-reference.com/gleague/teams/GRR/2017.html
Grand Rapids Drive,GRR,2018,G League,https://www.basketball-reference.com/gleague/teams/GRR/2018.html
Grand Rapids Drive,GRR,2019,G League,https://www.basketball-reference.com/gleague/teams/GRR/2019.html
Grand Rapids Drive,GRR,2020,G League,https://www.basketball-reference.com/gleague/teams/GRR/2020.html
Springfield Armor,SPR,2010,G League,https://www.basketball-reference.com/gleague/teams/SPR/2010.html
Springfield Armor,SPR,2011,G League,https://www.basketball-reference.com/gleague/teams/SPR/2011.html
Springfield Armor,SPR,2012,G League,https://www.basketball-reference.com/gleague/teams/SPR/2012.html
Springfield Armor,SPR,2013,G League,https://www.basketball-reference.com/gleague/teams/SPR/2013.html
Springfield Armor,SPR,2014,G League,https://www.basketball-reference.com/gleague/teams/SPR/2014.html
Anaheim Arsenal,ANA,2007,G League,https://www.basketball-reference.com/gleague/teams/ANA/2007.html
Anaheim Arsenal,ANA,2008,G League,https://www.basketball-reference.com/gleague/teams/ANA/2008.html
Anaheim Arsenal,ANA,2009,G League,https://www.basketball-reference.com/gleague/teams/ANA/2009.html
Greensboro Swarm,GBO,2017,G League,https://www.basketball-reference.com/gleague/teams/GBO/2017.html
Greensboro Swarm,GBO,2018,G League,https://www.basketball-reference.com/gleague/teams/GBO/2018.html
Greensboro Swarm,GBO,2019,G League,https://www.basketball-reference.com/gleague/teams/GBO/2019.html
Greensboro Swarm,GBO,2020,G League,https://www.basketball-reference.com/gleague/teams/GBO/2020.html
Greensboro Swarm,GBO,2021,G League,https://www.basketball-reference.com/gleague/teams/GBO/2021.html
Greensboro Swarm,GBO,2022,G League,https://www.basketball-reference.com/gleague/teams/GBO/2022.html
