Team Name,Team Abbr.,G,W,L,W/L%,GB,League,Season,Division,Division Rank,Made Playoffs
Tri-Cities Blackhawks,TCB,44,19,25,0.432,12,NBL,1947,Eastern,5,No
Youngstown Bears,YNB,44,12,32,0.273,19,NBL,1947,Eastern,6,No
Oshkosh All-Stars,OAS,44,28,16,0.636,0,NBL,1947,Western,1,Yes
Indianapolis Kautskys,INK,44,27,17,0.614,1,NBL,1947,Western,2,Yes
Chicago American Gears,CAG,44,26,18,0.591,2,NBL,1947,Western,3,Yes
Sheboygan Redskins,SHR,44,26,18,0.591,2,NBL,1947,Western,4,Yes
Anderson Duffey Packers,ADP,44,24,20,0.545,4,NBL,1947,Western,5,No
Detroit Gems,DTG,44,4,40,0.091,24,NBL,1947,Western,6,No
Rochester Royals,RCR,60,44,16,0.733,0,NBL,1948,Eastern,1,Yes
Anderson Duffey Packers,ADP,60,42,18,0.7,2,NBL,1948,Eastern,2,Yes
Fort Wayne Zollner Pistons,FWZ,60,40,20,0.667,4,NBL,1948,Eastern,3,Yes
Syracuse Nationals,SYN,60,24,36,0.4,20,NBL,1948,Eastern,4,Yes
Toledo Jeeps,TLJ,59,22,37,0.373,21.5,NBL,1948,Eastern,5,No
Flint Dow A.C.'s,FDA,60,8,52,0.133,36,NBL,1948,Eastern,6,No
Minneapolis Lakers,MNN,60,43,17,0.717,0,NBL,1948,Western,1,Yes
Tri-Cities Blackhawks,TCB,60,30,30,0.5,13,NBL,1948,Western,2,Yes
Oshkosh All-Stars,OAS,60,29,31,0.483,14,NBL,1948,Western,3,Yes
Indianapolis Kautskys,INK,59,24,35,0.407,18.5,NBL,1948,Western,4,Yes
Sheboygan Redskins,SHR,60,23,37,0.383,20,NBL,1948,Western,5,No
Anderson Duffey Packers,ADP,64,49,15,0.766,0,NBL,1949,Eastern,1,Yes
Syracuse Nationals,SYN,63,40,23,0.635,8.5,NBL,1949,Eastern,2,Yes
Hammond Calumet Buccaneers,HCB,62,21,41,0.339,27,NBL,1949,Eastern,3,Yes
Dayton Rens,DYR,40,14,26,0.35,23,NBL,1949,Eastern,4,No
Detroit Vagabond Kings,DVK,19,2,17,0.105,24.5,NBL,1949,Eastern,5,No
Oshkosh All-Stars,OAS,64,37,27,0.578,0,NBL,1949,Western,1,Yes
Tri-Cities Blackhawks,TCB,64,36,28,0.563,1,NBL,1949,Western,2,Yes
Sheboygan Redskins,SHR,64,35,29,0.547,2,NBL,1949,Western,3,Yes
Waterloo Hawks,WTH,62,30,32,0.484,6,NBL,1949,Western,4,No
Denver Nuggets,DNV,62,18,44,0.29,18,NBL,1949,Western,5,No
