Team Name,Team Abbr.,League,Season,Division,Division Rank,Opening Round Wins,Opening Round Losses,Opening Round Opp.,Won Opening Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Championship Wins,Championship Losses,Championship Opp.,Won Championship
Fort Wayne Zollner Pistons,FWZ,NBL,1943,NA,NA,NA,NA,NA,NA,2,1,Chicago Studebaker Flyers,Yes,1,2,Sheboygan Redskins,No
Sheboygan Redskins,SHR,NBL,1943,NA,NA,NA,NA,NA,NA,2,0,Oshkosh All-Stars,Yes,2,1,Fort Wayne Zollner Pistons,Yes
Oshkosh All-Stars,OAS,NBL,1943,NA,NA,NA,NA,NA,NA,0,2,Sheboygan Redskins,No,NA,NA,NA,NA
Chicago Studebaker Flyers,CSF,NBL,1943,NA,NA,NA,NA,NA,NA,1,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Toledo Jim White Chevrolets,TJW,NBL,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1944,NA,NA,NA,NA,NA,NA,2,0,Cleveland Chase Brassmen,Yes,3,0,Sheboygan Redskins,Yes
Sheboygan Redskins,SHR,NBL,1944,NA,NA,NA,NA,NA,NA,2,1,Oshkosh All-Stars,Yes,0,3,Fort Wayne Zollner Pistons,No
Oshkosh All-Stars,OAS,NBL,1944,NA,NA,NA,NA,NA,NA,1,2,Sheboygan Redskins,No,NA,NA,NA,NA
Cleveland Chase Brassmen,CCB,NBL,1944,NA,NA,NA,NA,NA,NA,0,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1945,Eastern,1,NA,NA,NA,NA,2,0,Cleveland Allmen Transfers,Yes,3,2,Sheboygan Redskins,Yes
Cleveland Allmen Transfers,CAT,NBL,1945,Eastern,2,NA,NA,NA,NA,0,2,Fort Wayne Zollner Pistons,No,NA,NA,NA,NA
Pittsburgh Raiders,PTR,NBL,1945,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1945,Western,1,NA,NA,NA,NA,2,1,Chicago American Gears,Yes,2,3,Fort Wayne Zollner Pistons,No
Chicago American Gears,CAG,NBL,1945,Western,2,NA,NA,NA,NA,1,2,Sheboygan Redskins,No,NA,NA,NA,NA
Oshkosh All-Stars,OAS,NBL,1945,Western,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Zollner Pistons,FWZ,NBL,1946,Eastern,1,NA,NA,NA,NA,1,3,Rochester Royals,No,NA,NA,NA,NA
Rochester Royals,RCR,NBL,1946,Eastern,2,NA,NA,NA,NA,3,1,Fort Wayne Zollner Pistons,Yes,3,0,Sheboygan Redskins,Yes
Youngstown Bears,YNB,NBL,1946,Eastern,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Allmen Transfers,CAT,NBL,1946,Eastern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheboygan Redskins,SHR,NBL,1946,Western,1,NA,NA,NA,NA,3,2,Oshkosh All-Stars,Yes,0,3,Rochester Royals,No
