team_name,conference
Chicago Sky,Eastern
Phoenix Mercury,Western
Indiana Fever,Eastern
Minnesota Lynx,Western
Atlanta Dream,Eastern
Los Angeles Sparks,Western
Washington Mystics,Eastern
San Antonio Stars,Western
Connecticut Sun,Eastern
New York Liberty,Eastern
Seattle Storm,Western
Tulsa Shock,Western
Dallas Wings,Western
Las Vegas Aces,Western
