Year,League,URL
1968,ABA,https://www.basketball-reference.com/leagues/ABA_1968.html
1969,ABA,https://www.basketball-reference.com/leagues/ABA_1969.html
1970,ABA,https://www.basketball-reference.com/leagues/ABA_1970.html
1971,ABA,https://www.basketball-reference.com/leagues/ABA_1971.html
1972,ABA,https://www.basketball-reference.com/leagues/ABA_1972.html
1973,ABA,https://www.basketball-reference.com/leagues/ABA_1973.html
1974,ABA,https://www.basketball-reference.com/leagues/ABA_1974.html
1975,ABA,https://www.basketball-reference.com/leagues/ABA_1975.html
1976,ABA,https://www.basketball-reference.com/leagues/ABA_1976.html
