Team Name,Team Abbr.,League,Season,Conference,Conference Rank,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Houston Comets,HOU,WNBA,2006,Western,3,0,2,Sacramento Monarchs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2006,Western,4,1,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2006,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2006,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2006,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2007,Eastern,1,2,1,New York Liberty,Yes,NA,NA,NA,NA,2,1,Indiana Fever,Yes,2,3,Phoenix Mercury,No
Indiana Fever,IND,WNBA,2007,Eastern,2,2,1,Connecticut Sun,Yes,NA,NA,NA,NA,1,2,Detroit Shock,No,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2007,Eastern,3,1,2,Indiana Fever,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2007,Eastern,4,1,2,Detroit Shock,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2007,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Sky,CHI,WNBA,2007,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2007,Western,1,2,0,Seattle Storm,Yes,NA,NA,NA,NA,2,0,San Antonio Silver Stars,Yes,3,2,Detroit Shock,Yes
San Antonio Silver Stars,SAS,WNBA,2007,Western,2,2,1,Sacramento Monarchs,Yes,NA,NA,NA,NA,0,2,Phoenix Mercury,No,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2007,Western,3,1,2,San Antonio Silver Stars,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2007,Western,4,0,2,Phoenix Mercury,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2007,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2007,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2007,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2008,Eastern,1,2,1,Indiana Fever,Yes,NA,NA,NA,NA,2,1,New York Liberty,Yes,3,0,San Antonio Silver Stars,Yes
Connecticut Sun,CON,WNBA,2008,Eastern,2,1,2,New York Liberty,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2008,Eastern,3,2,1,Connecticut Sun,Yes,NA,NA,NA,NA,1,2,Detroit Shock,No,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2008,Eastern,4,1,2,Detroit Shock,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Sky,CHI,WNBA,2008,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2008,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Dream,ATL,WNBA,2008,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2008,Western,1,2,1,Sacramento Monarchs,Yes,NA,NA,NA,NA,2,1,Los Angeles Sparks,Yes,0,3,Detroit Shock,No
Seattle Storm,SEA,WNBA,2008,Western,2,1,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2008,Western,3,2,1,Seattle Storm,Yes,NA,NA,NA,NA,1,2,San Antonio Silver Stars,No,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2008,Western,4,1,2,San Antonio Silver Stars,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2008,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2008,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2008,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2009,Eastern,1,2,0,Washington Mystics,Yes,NA,NA,NA,NA,2,1,Detroit Shock,Yes,2,3,Phoenix Mercury,No
Atlanta Dream,ATL,WNBA,2009,Eastern,2,0,2,Detroit Shock,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2009,Eastern,3,2,0,Atlanta Dream,Yes,NA,NA,NA,NA,1,2,Indiana Fever,No,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2009,Eastern,4,0,2,Indiana Fever,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Sky,CHI,WNBA,2009,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2009,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2009,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2009,Western,1,2,1,San Antonio Silver Stars,Yes,NA,NA,NA,NA,2,1,Los Angeles Sparks,Yes,3,2,Indiana Fever,Yes
Seattle Storm,SEA,WNBA,2009,Western,2,1,2,Los Angeles Sparks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2009,Western,3,2,1,Seattle Storm,Yes,NA,NA,NA,NA,1,2,Phoenix Mercury,No,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2009,Western,4,1,2,Phoenix Mercury,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2009,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2009,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
