Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,V18,OWS,DWS,WS,WS/48,V23,OBPM,DBPM,BPM,VORP,URL,Team,Season
1,Ralph Simpson,25,82,2863,17.3,0.545,0.009,0.293,4.2,10,7.3,21.2,2.6,0.4,16.8,24.7,NA,3.8,3.4,7.2,0.12,NA,1.4,0,1.4,2.4,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
2,Bobby Jones,23,84,2706,19.4,0.626,0.001,0.307,9.6,17.3,13.7,14.4,2.8,3,19,17.2,NA,5.5,4.7,10.2,0.181,NA,3.1,2.6,5.7,5.2,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
3,Mike Green,23,81,2557,18.8,0.574,0.004,0.279,12.4,18.5,15.6,5.3,1.5,3.6,14.2,21.3,NA,4.8,3.9,8.7,0.163,NA,1.3,0,1.3,2.1,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
4,Mack Calvin,27,74,2463,19.2,0.587,0.016,0.532,1.6,7.2,4.6,29.8,2.5,0.2,18.5,23.3,NA,6.5,2.5,9,0.176,NA,2.7,-0.3,2.3,2.7,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
5,Fatty Taylor,28,76,2018,9.9,0.481,0.036,0.294,4.7,6.8,5.8,19.7,3.8,0.4,27.3,17.1,NA,-1.5,2.7,1.2,0.029,NA,-2.6,1.4,-1.1,0.5,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
6,Dave Robisch,25,84,1899,19.4,0.584,0.001,0.444,9.6,18.3,14.1,10.5,1.1,1.3,10.4,20.8,NA,6.1,2.4,8.5,0.214,NA,2.9,-0.2,2.6,2.2,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
7,Byron Beck,30,84,1818,13.6,0.539,0.001,0.13,7.9,12.1,10.1,7.7,1.4,0.4,8.8,18,NA,3.3,1.8,5.1,0.134,NA,-0.3,-0.6,-0.9,0.5,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
8,Jan van Breda Kolff,23,84,1639,11.9,0.56,0.009,0.617,8.3,14.7,11.7,12.6,1.3,1.4,21.9,12.9,NA,1.9,1.9,3.8,0.111,NA,0.2,0.7,0.9,1.2,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
9,Claude Terry,25,70,989,14.3,0.576,0.069,0.253,6.5,8.5,7.6,14.4,1.5,0.1,16.5,18.6,NA,1.6,0.8,2.4,0.117,NA,1.2,-0.8,0.5,0.6,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
10,Pat McFarland,23,70,945,12.2,0.501,0.038,0.156,4.4,8.9,6.8,16.1,2.2,0.3,19.2,22.6,NA,-0.2,1,0.7,0.037,NA,-1.2,-0.8,-2,0,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
11,Don Washington,22,50,438,9.2,0.472,0.011,0.306,10.5,11.1,10.8,8.7,1.2,2.3,19.1,22.3,NA,-0.3,0.5,0.2,0.022,NA,-4.6,-0.8,-5.3,-0.4,https://www.basketball-reference.com/teams/DNA/1975.html,DNA,1974-1975
1,Ralph Simpson,26,84,3121,15.7,0.555,0.02,0.289,4,9.8,7.1,23.9,2.1,0.4,20.9,20.5,NA,3.4,3,6.3,0.097,NA,1.1,-0.4,0.7,2.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
2,David Thompson,21,83,3101,21.1,0.578,0.012,0.435,7.7,8.8,8.3,13.4,1.9,1.6,11.8,25.3,NA,9.5,3,12.4,0.193,NA,3.9,-0.2,3.7,4.4,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
3,Dan Issel,27,84,2856,21.8,0.567,0.003,0.354,11.1,19.9,15.8,9.6,1.5,1,10.5,24.7,NA,8.6,3.8,12.5,0.209,NA,3.3,-0.9,2.4,3.2,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
4,Bobby Jones,24,83,2845,18.9,0.609,0,0.351,8.8,17.7,13.6,14.2,2.6,3.2,18.6,16.2,NA,5.4,4.8,10.2,0.172,NA,2.7,2.6,5.3,5.2,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
5,Chuck Williams,29,79,2529,11.4,0.569,0.006,0.35,1.7,6.1,4.1,17.1,2,0.1,19.1,13.8,NA,2.9,1.8,4.7,0.089,NA,-1.1,0.1,-1,0.6,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
6,Byron Beck,31,80,1586,14.9,0.552,0.017,0.18,8.1,13.3,10.9,9.3,1.3,0.6,11.5,18.4,NA,2.9,1.5,4.4,0.133,NA,0.5,-0.7,-0.2,0.7,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
7,Claude Terry,26,79,1349,10.9,0.517,0.11,0.178,3.3,7.5,5.5,13.1,1.3,0.2,15.1,17.4,NA,1,0.8,1.8,0.065,NA,-1.3,-1.1,-2.3,-0.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
8,Gus Gerard,22,60,1185,13,0.477,0.013,0.286,8.3,16,12.4,12.9,1.9,2.2,18.5,23.9,NA,-0.5,1.6,1.1,0.044,NA,-2.3,0.1,-2.2,-0.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
9,Monte Towe,22,64,576,9.1,0.476,0.235,0.246,1.1,7.8,4.7,27,2.8,0.4,29,18,NA,-0.5,0.6,0.1,0.006,NA,-3.3,-0.2,-3.5,-0.2,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
10,Marvin Webster,23,38,398,18.1,0.535,0.008,0.65,16.5,25.5,21.3,8.8,1,6.4,19.8,17.9,NA,0.5,0.8,1.3,0.155,NA,-0.1,1.7,1.6,0.4,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
11,Jimmy Foster,24,48,352,4.4,0.427,0.055,0.441,5.6,6,5.8,15.8,2.3,0.6,26.7,24.9,NA,-1,0.3,-0.7,-0.096,NA,-7.2,-1.5,-8.6,-0.6,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
12,Roger Brown,25,37,291,9.9,0.517,0.033,0.393,9,15.7,12.6,8.4,1.2,3.7,19.2,11.3,NA,0.2,0.4,0.6,0.097,NA,-2.8,1.5,-1.3,0.1,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
13,Jim Bradley,23,7,107,9.3,0.407,0,0.079,3.9,22.2,13.7,12,2,2.3,11.3,15.3,NA,0,0.2,0.1,0.067,NA,-3.7,1,-2.7,0,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
14,George Irvine,27,3,14,-0.3,0.333,0.167,0,7.5,0,3.5,0,0,0,14.3,18.5,NA,0,0,0,-0.131,NA,-4.6,-0.5,-5.1,0,https://www.basketball-reference.com/teams/DNA/1976.html,DNA,1975-1976
1,Roger Brown,25,76,2974,17.5,0.493,0.042,0.402,NA,NA,9.8,16.7,NA,NA,14.9,22.3,NA,4.4,2.9,7.3,0.118,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
2,Freddie Lewis,24,76,2921,17.3,0.507,0.057,0.453,NA,NA,6.8,9.5,NA,NA,11.9,22.4,NA,5.5,2,7.5,0.124,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
3,Bob Netolicky,25,71,2385,21.4,0.53,0.001,0.398,NA,NA,15.4,4.5,NA,NA,11.6,19.3,NA,5.2,2.2,7.4,0.149,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
4,Jimmy Rayl,26,74,2193,10.7,0.478,0.214,0.297,NA,NA,4.9,13.7,NA,NA,17.2,19,NA,2,1.6,3.5,0.078,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
5,Ollie Darden,23,77,2045,14,0.485,0.001,0.325,NA,NA,11.6,5.1,NA,NA,12.8,19.9,NA,2.1,1.6,3.7,0.088,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
6,Bobby Edmonds,26,72,1338,12.2,0.49,0.012,0.469,NA,NA,12.6,3.2,NA,NA,17.3,19.8,NA,1.5,1.1,2.5,0.09,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
7,Jerry Harkness,27,71,1241,14.8,0.505,0.013,0.566,NA,NA,7,14.8,NA,NA,13.5,17.1,NA,1.8,1,2.9,0.11,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
8,George Peeples,24,65,1203,11.6,0.464,0.009,0.555,NA,NA,14.1,3.3,NA,NA,14.4,15.3,NA,0.4,1,1.5,0.059,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
9,Reggie Harding,25,25,840,16.9,0.475,0.003,0.287,NA,NA,17.9,9.4,NA,NA,17.9,19.1,NA,0.6,1,1.6,0.091,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
10,Matt Aitch,23,45,637,11.9,0.449,0.008,0.312,NA,NA,11.3,4.1,NA,NA,11.6,18.6,NA,0,0.5,0.5,0.04,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
11,Ron Bonham,25,42,426,15.2,0.478,0.01,0.5,NA,NA,6,5,NA,NA,11.1,25.2,NA,0.5,0.2,0.7,0.08,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
12,Ron Kozlicki,23,37,354,7.4,0.401,0.24,0.281,NA,NA,8.8,5.4,NA,NA,12.3,16.3,NA,-0.3,0.2,-0.1,-0.012,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
13,Jimmy Dawson,22,21,288,9.4,0.388,0.053,0.323,NA,NA,3.3,16.3,NA,NA,9.5,21.7,NA,-0.5,0.2,-0.3,-0.043,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1968.html,INA,1967-1968
1,Freddie Lewis,25,78,3055,15.8,0.52,0.064,0.392,NA,NA,5.3,15.5,NA,NA,12.8,20.4,NA,4.6,3,7.6,0.119,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
2,Mel Daniels,24,76,2934,21.7,0.51,0.003,0.443,NA,NA,18.6,5.9,NA,NA,13.2,25,NA,4.2,4.4,8.6,0.14,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
3,Bob Netolicky,26,78,2721,19.1,0.541,0.004,0.429,NA,NA,12.7,4.5,NA,NA,11.6,20.1,NA,5.3,3.1,8.3,0.147,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
4,Roger Brown,26,75,2658,20.9,0.555,0.014,0.482,NA,NA,8.3,18.4,NA,NA,13.2,21.9,NA,6.8,3.2,10,0.181,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
5,George Peeples,25,64,1111,11.3,0.507,0,0.511,NA,NA,14,3.7,NA,NA,17.7,13.3,NA,0.8,1.3,2.1,0.09,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
6,Don Dee,25,58,989,7,0.395,0.003,0.194,NA,NA,12.8,4.3,NA,NA,14.6,17.7,NA,-1.4,1.1,-0.3,-0.015,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
7,Bobby Hooper,22,54,955,9.8,0.456,0.118,0.218,NA,NA,5,18.6,NA,NA,14.9,13,NA,0,1,1.1,0.053,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
8,Ron Perry,25,27,865,10.4,0.498,0.271,0.208,NA,NA,3.7,14.8,NA,NA,15.4,17.9,NA,0.7,0.8,1.5,0.082,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
9,Steve Chubin,24,24,725,13.3,0.525,0.024,0.661,NA,NA,5.7,22.1,NA,NA,21.4,19.8,NA,1.1,0.9,2,0.131,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
10,John Fairchild,25,52,582,9.9,0.467,0.112,0.396,NA,NA,8.3,6.5,NA,NA,16.2,22.3,NA,0.1,0.5,0.6,0.05,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
11,Jimmy Rayl,27,27,567,10.6,0.515,0.455,0.337,NA,NA,5.1,14,NA,NA,17.7,17.7,NA,0.7,0.6,1.2,0.102,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
12,Jay Miller,25,41,494,13.2,0.508,0,0.489,NA,NA,7.1,5.7,NA,NA,16.5,24,NA,0.6,0.4,1,0.102,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
13,Mike Lewis,22,24,457,15.4,0.511,0.012,0.417,NA,NA,17.2,8.4,NA,NA,20.3,18.9,NA,0.5,0.7,1.2,0.121,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
14,Tom Thacker,29,18,346,7.7,0.375,0.017,0.265,NA,NA,8.4,18.7,NA,NA,16.6,16.1,NA,-0.5,0.4,-0.1,-0.013,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
15,Jerry Harkness,28,10,272,9.3,0.525,0,0.701,NA,NA,5.4,9.6,NA,NA,18.6,14.1,NA,0.3,0.2,0.5,0.092,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
16,Phil Wagner,23,12,180,0.5,0.371,0.098,0.415,NA,NA,5.5,9.1,NA,NA,27.1,13.2,NA,-0.2,0.2,-0.1,-0.015,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
17,Butch Joyner,23,2,5,-0.3,NA,NA,NA,NA,NA,8.7,0,NA,NA,NA,0,NA,0,0,0,0.038,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
18,Jack Thompson,22,2,4,5,0.333,0.333,0,NA,NA,10.8,74.8,NA,NA,40,44.5,NA,0,0,0,-0.088,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1969.html,INA,1968-1969
1,Roger Brown,27,84,3495,20.6,0.572,0.083,0.389,NA,NA,8,16.5,NA,NA,11.9,21,NA,9.8,3.5,13.3,0.183,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
2,Bob Netolicky,27,82,3222,19.1,0.524,0.005,0.36,NA,NA,12.2,5.6,NA,NA,10.3,21.3,NA,4.9,3.3,8.2,0.122,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
3,Mel Daniels,25,83,3039,20,0.515,0.002,0.378,NA,NA,21.7,6.3,NA,NA,16.9,22.8,NA,3.9,4.7,8.6,0.135,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
4,Freddie Lewis,26,81,2877,13.7,0.519,0.166,0.455,NA,NA,4.3,13.8,NA,NA,12.9,19.5,NA,3.7,2.3,6,0.1,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
5,John Barnhill,31,77,2374,10.4,0.473,0.33,0.289,NA,NA,3.3,17.6,NA,NA,14.5,17.4,NA,0.5,1.9,2.5,0.05,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
6,Art Becker,28,82,1504,16.7,0.558,0.002,0.231,NA,NA,11.4,4.4,NA,NA,8.5,18.1,NA,3.2,1.4,4.6,0.147,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
7,Bill Keller,22,82,1482,15.3,0.494,0.243,0.304,NA,NA,5.3,22.2,NA,NA,13.8,21.5,NA,1.2,1.5,2.7,0.087,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
8,Tom Thacker,30,70,1016,5.3,0.388,0.184,0.325,NA,NA,9.4,22.3,NA,NA,32.2,13.4,NA,-0.9,1.3,0.4,0.02,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
9,Jay Miller,26,52,415,12.2,0.497,0.006,0.341,NA,NA,8.7,5.5,NA,NA,12.7,20.2,NA,0.3,0.3,0.7,0.076,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
10,Steve Chubin,25,32,381,7.8,0.561,0.043,0.645,NA,NA,4.8,23.3,NA,NA,34.5,18.3,NA,0.7,0.4,1.1,0.134,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
11,Ollie Darden,25,26,288,8.8,0.423,0.033,0.19,NA,NA,14.1,6.2,NA,NA,16,20.7,NA,-0.3,0.3,0,0.003,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
12,Barry Orms,23,9,143,12,0.496,0.075,0.65,NA,NA,11.7,11.9,NA,NA,13.5,15.9,NA,0.1,0.2,0.3,0.084,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
13,John Fairchild,26,3,26,-0.8,0.218,0,0.333,NA,NA,15.6,9.1,NA,NA,12.7,11.6,NA,-0.1,0,-0.1,-0.105,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
14,Bobby Edmonds,28,3,12,3.9,0.237,0,0.6,NA,NA,15,0,NA,NA,0,20.1,NA,-0.1,0,-0.1,-0.264,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
15,Dick Grubar,22,2,8,20.2,0.667,0,0,NA,NA,0,19.7,NA,NA,0,14.3,NA,0,0,0,0.226,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
16,Jerry McKee,23,1,3,-29.8,0,0,0,NA,NA,0,0,NA,NA,50,25.4,NA,0,0,0,-0.391,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1970.html,INA,1969-1970
1,Roger Brown,28,82,3364,17.1,0.567,0.176,0.404,NA,NA,7.6,15.6,NA,NA,13.5,19.2,NA,7.2,3.6,10.9,0.155,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
2,Mel Daniels,26,82,3170,21.9,0.549,0.01,0.354,NA,NA,21,7.9,NA,NA,12.8,21.3,NA,6,5.4,11.4,0.173,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
3,Bob Netolicky,28,82,3137,16.7,0.531,0.006,0.255,NA,NA,11.1,4.6,NA,NA,8.7,19,NA,4.2,3.3,7.5,0.114,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
4,Freddie Lewis,27,81,3034,16.1,0.528,0.156,0.371,NA,NA,5,19,NA,NA,12.3,20.4,NA,4.2,3,7.2,0.114,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
5,Bill Keller,23,83,2490,15.4,0.531,0.235,0.314,NA,NA,4.3,22.9,NA,NA,14.9,19.8,NA,3.5,2.6,6.1,0.118,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
6,Warren Jabali,24,62,1586,10.9,0.518,0.294,0.43,NA,NA,8.5,17.1,NA,NA,22.4,20.1,NA,1.6,1.9,3.5,0.105,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
7,Art Becker,29,51,840,15.3,0.541,0.016,0.184,NA,NA,11.7,3.7,NA,NA,9.2,20,NA,1.4,0.9,2.3,0.13,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
8,Rick Mount,24,66,832,10.5,0.469,0.197,0.361,NA,NA,3.8,17.1,NA,NA,14.3,24.6,NA,-0.1,0.7,0.7,0.039,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
9,John Barnhill,32,43,619,7.9,0.403,0.311,0.253,NA,NA,4.5,16.7,NA,NA,12.7,18.6,NA,-0.9,0.6,-0.3,-0.025,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
10,Don Sidle,24,30,528,16.1,0.588,0.025,0.471,NA,NA,12.6,7.6,NA,NA,14.8,15.8,NA,1.1,0.6,1.7,0.159,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
11,Earle Higgins,24,53,467,13.6,0.489,0.076,0.135,NA,NA,12.4,10.6,NA,NA,9.9,21.1,NA,0.2,0.6,0.8,0.079,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
12,Wayne Chapman,25,22,192,11.3,0.485,0.115,0.372,NA,NA,7.3,14.1,NA,NA,14.2,20.7,NA,0.1,0.2,0.3,0.065,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
13,Tom Thacker,31,8,92,1.7,0.373,0.176,0.059,NA,NA,10.8,8.8,NA,NA,31.4,10.4,NA,-0.1,0.1,0,0.011,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
14,Jay Miller,27,2,9,40.5,0.8,0,0,NA,NA,15,22.8,NA,NA,16.7,25,NA,0.1,0,0.1,0.513,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1971.html,INA,1970-1971
1,Roger Brown,29,78,2987,17,0.56,0.166,0.361,5.2,10,7.7,14.5,NA,NA,14.2,19.4,NA,6.1,3.3,9.3,0.15,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
2,Mel Daniels,27,79,2971,21.3,0.547,0.005,0.381,12.2,27.1,19.9,8.7,NA,NA,14.7,21.1,NA,5.4,4.9,10.3,0.166,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
3,Bob Netolicky,29,83,2905,15.1,0.515,0.017,0.256,8.6,15.2,12,4.1,NA,NA,12,18.3,NA,2.5,3.1,5.6,0.093,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
4,Freddie Lewis,28,77,2714,14.7,0.527,0.106,0.418,4.7,6.3,5.5,18.1,NA,NA,14.8,18.7,NA,3.2,2.9,6.2,0.109,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
5,George McGinnis,21,73,2179,17.4,0.513,0.038,0.462,12.6,17,14.9,9.4,NA,NA,17.6,25.9,NA,2.4,3,5.3,0.118,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
6,Rick Mount,25,78,2126,14.4,0.523,0.19,0.275,2.1,4.4,3.3,15.8,NA,NA,11.8,21.9,NA,2.8,1.8,4.6,0.104,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
7,Bill Keller,24,76,1729,14.3,0.53,0.273,0.281,3.4,5.2,4.3,20.9,NA,NA,15.8,18.5,NA,2.1,1.9,4,0.111,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
8,Darnell Hillman,22,73,1386,13.9,0.528,0.012,0.432,10.4,20.7,15.8,4.8,NA,NA,14.7,15.9,NA,1.4,1.8,3.2,0.11,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
9,Larry Cannon,24,28,478,8.7,0.451,0.034,0.406,3,3.3,3.2,20.2,NA,NA,16.9,20.1,NA,-0.3,0.5,0.2,0.019,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
10,Don Sidle,25,27,394,15.4,0.532,0.007,0.343,10.6,11.4,11,3.6,NA,NA,10.8,18.1,NA,0.5,0.4,0.9,0.108,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
11,John Barnhill,33,19,194,4.9,0.363,0.402,0.172,3.9,5,4.5,11.1,NA,NA,11.4,21,NA,-0.6,0.2,-0.4,-0.11,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
12,Marv Winkler,23,20,155,1.3,0.332,0.074,0.259,4.3,5.1,4.7,9.8,NA,NA,16.6,18,NA,-0.5,0.1,-0.4,-0.112,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
13,Wayne Chapman,26,7,76,4.8,0.436,0.111,0.333,2.5,3.5,3,18.3,NA,NA,22.5,13.5,NA,0,0.1,0,0.019,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
14,Arvesta Kelly,26,4,41,-0.8,0.333,0,0,2.3,12.9,7.8,6,NA,NA,18.2,10.4,NA,-0.1,0,0,-0.042,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
15,Mike Price,23,4,25,-3.9,0.333,0,0,3.8,14.1,9.1,5.2,NA,NA,30.8,20.1,NA,-0.1,0,0,-0.096,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1972.html,INA,1971-1972
1,George McGinnis,22,82,3347,22.7,0.539,0.018,0.443,12.3,15.6,14,9.5,2.2,NA,16.1,28.1,NA,6.2,5.2,11.4,0.164,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
2,Mel Daniels,28,81,3103,19.3,0.53,0.003,0.366,10.6,25.7,18.4,8,NA,2.6,16.3,20.5,NA,3.5,5.8,9.2,0.142,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
3,Darnell Hillman,23,84,2541,11.9,0.475,0.012,0.343,8.1,18.1,13.2,6.5,NA,2.3,15.4,14.8,NA,-0.5,3.7,3.3,0.062,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
4,Bill Keller,25,83,2251,15.9,0.525,0.228,0.276,3.4,4.8,4.1,22.5,NA,NA,13.5,21.1,NA,2.5,2.9,5.4,0.114,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
5,Freddie Lewis,29,72,2217,14.3,0.53,0.128,0.406,4.1,5.2,4.7,17.8,NA,NA,14.6,20.1,NA,2.6,2.6,5.2,0.113,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
6,Roger Brown,30,72,2177,14.5,0.562,0.169,0.353,4.8,9.7,7.3,12.5,NA,NA,12.9,16.1,NA,3.5,2.7,6.1,0.136,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
7,Donnie Freeman,28,77,2170,13.1,0.509,0.006,0.368,4.5,4.7,4.6,12.6,NA,NA,12.9,21.6,NA,1.4,2.2,3.7,0.081,NA,NA,NA,NA,NA,https://www.basketball-reference.com/teams/INA/1973.html,INA,1972-1973
